trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
315,False,"{'a': 0.4, 'e': 0.0017227166180941945}",25,10,2.40926395294645,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
316,False,"{'a': 0.4, 'e': 0.0016882622857323107}",25,14,17.56155422207349,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.4, 'e': 0.0016544970400176645}",30,20,18.063321944018753,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.4, 'e': 0.0016214070992173113}",20,3,27.21637189662152,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.4, 'e': 0.001588978957232965}",20,6,18.139311448423943,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.4, 'e': 0.0015571993780883057}",20,0,27.28672899707597,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
321,False,"{'a': 0.4, 'e': 0.0015260553905265396}",35,19,25.53032448691096,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.4, 'e': 0.0014955342827160088}",20,11,16.853770100952886,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.4, 'e': 0.0014656235970616886}",20,0,29.937939824362736,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
324,False,"{'a': 0.4, 'e': 0.0014363111251204548}",30,15,23.23065976942088,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.4, 'e': 0.0014075849026180458}",20,0,26.447424920218275,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
326,False,"{'a': 0.4, 'e': 0.001379433204565685}",20,0,29.10525276859544,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
327,False,"{'a': 0.4, 'e': 0.0013518445404743713}",25,10,27.912264486418085,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.4, 'e': 0.0013248076496648838}",25,11,22.966969539467236,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.4, 'e': 0.0012983114966715861}",20,7,20.854154684955684,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.4, 'e': 0.0012723452667381544}",25,18,11.950969678534381,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.4, 'e': 0.0012468983614033913}",25,18,12.45351141619477,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.4, 'e': 0.0012219603941753235}",25,14,23.964311357119712,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.4, 'e': 0.001197521186291817}",20,2,-11.648949596334727,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
334,False,"{'a': 0.4, 'e': 0.0011735707625659807}",35,24,16.626317691407387,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.4, 'e': 0.001150099347314661}",25,6,33.34063585644363,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.4, 'e': 0.0011270973603683678}",20,3,27.69009693237383,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.4, 'e': 0.0011045554131610005}",25,9,-15.035442147432885,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
